Date;Tournament;MatchId;SeriesId;Patch;GameNumber;SummonnerName;XPD@15;GD@15;CS/Min;Kills;Deaths;Assists;KP%;WardPlaced;Damage/Min;TotalDamageDealtToBuilding;TotalDamageDealtToObjectives;JungleProximity;topLanePresence;jungleAllyTopPresence;jungleEnemyTopPresence;riverTopPresence
2024-01-02;League of Legends Scrims;scrim| aeg g3;2615697;14.1.547.8890;1;AEG Agresivoo;-659;-1055;8.400105742728645;0;0;1;0.08333333333333333;6;501.5004433641735;0;0;0.13357400722021662;0.7208182912154031;0.009626955475330927;0.0036101083032490976;0.03850782190132371
2024-01-02;League of Legends Scrims;scrim| aeg g4;2615704;14.1.547.8890;1;AEG Agresivoo;346;-149;6.2555567554673;2;4;1;0.3333333333333333;7;613.087633163235;288.9898376464844;9216.3876953125;0.12409638554216867;0.41686746987951806;0.01566265060240964;0.02289156626506024;0.07349397590361446
2024-01-02;League of Legends Scrims;scrim| aeg g4;2615704;14.1.547.8890;1;SUP ARMUT;-346;149;6.634681407313803;3;3;2;0.5;5;464.39138424477676;736.418701171875;945.2127075195312;0.13373493975903614;0.6433734939759036;0.016867469879518072;0.0;0.04578313253012048
2024-01-03;League of Legends Scrims;scrim| eiq game 1 rmk;2616045;14.1.547.8890;1;EIQ Robocop;-942;-915;7.771657381153821;0;0;0;0.0;8;355.5428664739431;0;0;0.14698795180722893;0.6795180722891566;0.014457831325301205;0.0;0.03493975903614458
2024-01-03;League of Legends Scrims;scrim| eiq game 1 rmk;2616045;14.1.547.8890;1;AEG Agresivoo;942;915;9.6039993653283;0;0;1;0.25;6;464.15003834176;1660.0643310546875;1660.0643310546875;0.17710843373493976;0.7590361445783133;0.0036144578313253013;0.008433734939759036;0.046987951807228916
2024-01-03;League of Legends Scrims;scrim| eiq game 2;2616074;14.1.547.8890;1;AEG Agresivoo;676;1180;10.10712442725636;0;0;1;0.3333333333333333;6;540.3968642112957;3333.270263671875;5244.2802734375;0.08795180722891566;0.5891566265060241;0.0036144578313253013;0.0;0.027710843373493974
2024-01-03;League of Legends Scrims;scrim| eiq game 2;2616074;14.1.547.8890;1;EIQ Robocop;-676;-1180;8.527886235497554;0;0;0;0.0;6;345.5356815985424;2405.56591796875;2405.56591796875;0.11927710843373494;0.6975903614457831;0.0;0.0;0.033734939759036145
2024-01-03;League of Legends Scrims;scrim| eiq game 3;2616108;14.1.547.8890;1;EIQ Robocop;-677;-2314;7.266844670725626;1;2;0;0.5;5;394.46109504574576;1000.0117797851562;1381.266845703125;0.1602409638554217;0.6879518072289157;0.0;0.0;0.04578313253012048
2024-01-03;League of Legends Scrims;scrim| eiq game 3;2616108;14.1.547.8890;1;AEG Agresivoo;677;2314;9.984012678040425;1;1;3;0.4444444444444444;6;651.7402563995141;3390.802978515625;7493.4619140625;0.2469879518072289;0.6686746987951807;0.0;0.0036144578313253013;0.03975903614457831
2024-01-03;League of Legends Scrims;scrim| eiq game 4;2616136;14.1.547.8890;1;AEG Agresivoo;822;-1402;7.709914382006031;3;3;1;0.2222222222222222;5;521.8367494694514;3333.8583984375;3333.8583984375;0.17951807228915662;0.7204819277108434;0.0012048192771084338;0.004819277108433735;0.010843373493975903
